# The self-hosting configuration surface, as version 1.0.0 promised it.
#
# Five fields: where it lives, what it is, its name, its type, and whether it
# is required. What it is, is one of
#
#   value     a key in the Helm chart's values.yaml
#   variable  a Terraform variable, which is what a tfvars file names
#   output    a Terraform output, which is what a runbook command reads
#
# An output declares neither a type nor a requirement and carries a dash for
# both, because only its name is promised.
#
# tools/inputcheck holds the tree to this file, and docs/reference/stability.md
# is the promise this file is the evidence for.
#
# A LINE THAT DISAPPEARS OR CHANGES IS A MAJOR VERSION. Adding one is not, and
# `go run ./tools/inputcheck -update .` records the addition.
#
# Defaults are deliberately absent. They are not promised, they move, and
# tools/tagsync exists because image_tag's default has to move on every release.
terraform:modules/alerting	variable	web_test_frequency_seconds	number	optional
terraform:modules/alerting	variable	web_test_locations	list(string)	optional
terraform:modules/control-plane	output	app_url	-	-
terraform:modules/control-plane	output	bootstrap_job_name	-	-
terraform:modules/control-plane	output	container_app_id	-	-
terraform:modules/control-plane	output	custom_domain_verification_id	-	-
terraform:modules/control-plane	output	database_fqdn	-	-
terraform:modules/control-plane	output	goldens_account	-	-
terraform:modules/control-plane	output	identity_client_id	-	-
terraform:modules/control-plane	output	job_ids	-	-
terraform:modules/control-plane	output	key_vault_id	-	-
terraform:modules/control-plane	output	key_vault_name	-	-
terraform:modules/control-plane	output	postgres_server_id	-	-
terraform:modules/control-plane	output	usable_connections	-	-
terraform:modules/control-plane	variable	admin_pool_max	number	optional
terraform:modules/control-plane	variable	analytics_enabled	bool	optional
terraform:modules/control-plane	variable	analytics_operator_org	string	optional
terraform:modules/control-plane	variable	analytics_retention_days	number	optional
terraform:modules/control-plane	variable	app_base_url	string	optional
terraform:modules/control-plane	variable	app_cpu	number	optional
terraform:modules/control-plane	variable	app_memory	string	optional
terraform:modules/control-plane	variable	assign_deployer_secret_officer	bool	optional
terraform:modules/control-plane	variable	backup_retention_days	number	optional
terraform:modules/control-plane	variable	custom_domain	string	optional
terraform:modules/control-plane	variable	database_admin_user	string	optional
terraform:modules/control-plane	variable	database_app_user	string	optional
terraform:modules/control-plane	variable	database_extensions	list(string)	optional
terraform:modules/control-plane	variable	database_name	string	optional
terraform:modules/control-plane	variable	database_sku	string	optional
terraform:modules/control-plane	variable	database_storage_mb	number	optional
terraform:modules/control-plane	variable	deployer_principal_id	string	optional
terraform:modules/control-plane	variable	diagnostics_enabled	bool	optional
terraform:modules/control-plane	variable	dns_zone_name	string	optional
terraform:modules/control-plane	variable	dns_zone_resource_group	string	optional
terraform:modules/control-plane	variable	event_retention_months	number	optional
terraform:modules/control-plane	variable	geo_redundant_backup	bool	optional
terraform:modules/control-plane	variable	github_api_base	string	optional
terraform:modules/control-plane	variable	github_app_id	string	optional
terraform:modules/control-plane	variable	github_app_install_url	string	optional
terraform:modules/control-plane	variable	github_app_private_key_secret_name	string	optional
terraform:modules/control-plane	variable	github_app_webhook_secret_name	string	optional
terraform:modules/control-plane	variable	github_client_id	string	required
terraform:modules/control-plane	variable	github_client_secret	string	required
terraform:modules/control-plane	variable	github_redirect_uri	string	required
terraform:modules/control-plane	variable	goldens_enabled	bool	optional
terraform:modules/control-plane	variable	goldens_replication	string	optional
terraform:modules/control-plane	variable	goldens_soft_delete_days	number	optional
terraform:modules/control-plane	variable	high_availability	bool	optional
terraform:modules/control-plane	variable	hosted_required_plan	string	optional
terraform:modules/control-plane	variable	image_digest	string	optional
terraform:modules/control-plane	variable	image_repository	string	optional
terraform:modules/control-plane	variable	image_tag	string	optional
terraform:modules/control-plane	variable	key_vault_name	string	optional
terraform:modules/control-plane	variable	key_vault_purge_protection	bool	optional
terraform:modules/control-plane	variable	lead_notify_email	string	optional
terraform:modules/control-plane	variable	location	string	required
terraform:modules/control-plane	variable	log_analytics_id	string	optional
terraform:modules/control-plane	variable	mail_from	string	optional
terraform:modules/control-plane	variable	maintenance_cron	string	optional
terraform:modules/control-plane	variable	max_replicas	number	optional
terraform:modules/control-plane	variable	min_replicas	number	optional
terraform:modules/control-plane	variable	model_prices	string	optional
terraform:modules/control-plane	variable	name	string	required
terraform:modules/control-plane	variable	operator_portal_enabled	bool	optional
terraform:modules/control-plane	variable	operator_sets_plan	bool	optional
terraform:modules/control-plane	variable	pool_max	number	optional
terraform:modules/control-plane	variable	postgres_version	string	optional
terraform:modules/control-plane	variable	product_name	string	optional
terraform:modules/control-plane	variable	provider_key_secret_enabled	bool	optional
terraform:modules/control-plane	variable	public_url	string	optional
terraform:modules/control-plane	variable	resend_api_key_secret_name	string	optional
terraform:modules/control-plane	variable	resource_group_name	string	required
terraform:modules/control-plane	variable	self_serve_signup	bool	optional
terraform:modules/control-plane	variable	signin_allowlist	list(string)	required
terraform:modules/control-plane	variable	signup_url	string	optional
terraform:modules/control-plane	variable	site_origin	string	optional
terraform:modules/control-plane	variable	stripe_price_team	string	optional
terraform:modules/control-plane	variable	stripe_secret_key_secret_name	string	optional
terraform:modules/control-plane	variable	stripe_webhook_secret_secret_name	string	optional
terraform:modules/control-plane	variable	tags	map(string)	optional
terraform:modules/control-plane	variable	vnet_cidr	string	optional
terraform:modules/foundation	output	location	-	-
terraform:modules/foundation	output	log_analytics_id	-	-
terraform:modules/foundation	output	resource_group_id	-	-
terraform:modules/foundation	output	resource_group_name	-	-
terraform:modules/foundation	output	tags	-	-
terraform:modules/foundation	variable	budget_alert_thresholds	list(number)	optional
terraform:modules/foundation	variable	budget_contact_emails	list(string)	optional
terraform:modules/foundation	variable	budget_contact_roles	list(string)	optional
terraform:modules/foundation	variable	budget_start_date	string	optional
terraform:modules/foundation	variable	environment	string	required
terraform:modules/foundation	variable	location	string	required
terraform:modules/foundation	variable	log_analytics_enabled	bool	optional
terraform:modules/foundation	variable	log_retention_days	number	optional
terraform:modules/foundation	variable	monthly_budget_usd	number	optional
terraform:modules/foundation	variable	resource_group_name	string	required
terraform:modules/foundation	variable	tags	map(string)	optional
terraform:stacks/control-plane	output	action_group_id	-	-
terraform:stacks/control-plane	output	alert_names	-	-
terraform:stacks/control-plane	output	app_url	-	-
terraform:stacks/control-plane	output	bootstrap_job_name	-	-
terraform:stacks/control-plane	output	custom_domain_verification_id	-	-
terraform:stacks/control-plane	output	goldens_account	-	-
terraform:stacks/control-plane	output	key_vault_id	-	-
terraform:stacks/control-plane	output	key_vault_name	-	-
terraform:stacks/control-plane	output	resource_group	-	-
terraform:stacks/control-plane	variable	admin_pool_max	number	optional
terraform:stacks/control-plane	variable	alert_emails	list(string)	optional
terraform:stacks/control-plane	variable	alert_sms_country_code	string	optional
terraform:stacks/control-plane	variable	alert_sms_number	string	optional
terraform:stacks/control-plane	variable	alerting_enabled	bool	optional
terraform:stacks/control-plane	variable	analytics_enabled	bool	optional
terraform:stacks/control-plane	variable	analytics_operator_org	string	optional
terraform:stacks/control-plane	variable	analytics_retention_days	number	optional
terraform:stacks/control-plane	variable	app_base_url	string	optional
terraform:stacks/control-plane	variable	assign_deployer_secret_officer	bool	optional
terraform:stacks/control-plane	variable	backup_retention_days	number	optional
terraform:stacks/control-plane	variable	budget_contact_emails	list(string)	optional
terraform:stacks/control-plane	variable	cd_principal_id	string	optional
terraform:stacks/control-plane	variable	ci_principal_id	string	optional
terraform:stacks/control-plane	variable	custom_domain	string	optional
terraform:stacks/control-plane	variable	database_extensions	list(string)	optional
terraform:stacks/control-plane	variable	database_sku	string	optional
terraform:stacks/control-plane	variable	database_storage_mb	number	optional
terraform:stacks/control-plane	variable	deployer_principal_id	string	optional
terraform:stacks/control-plane	variable	dns_zone_name	string	optional
terraform:stacks/control-plane	variable	dns_zone_resource_group	string	optional
terraform:stacks/control-plane	variable	event_retention_months	number	optional
terraform:stacks/control-plane	variable	geo_redundant_backup	bool	optional
terraform:stacks/control-plane	variable	github_api_base	string	optional
terraform:stacks/control-plane	variable	github_app_id	string	optional
terraform:stacks/control-plane	variable	github_app_install_url	string	optional
terraform:stacks/control-plane	variable	github_client_id	string	required
terraform:stacks/control-plane	variable	github_client_secret	string	required
terraform:stacks/control-plane	variable	github_redirect_uri	string	required
terraform:stacks/control-plane	variable	high_availability	bool	optional
terraform:stacks/control-plane	variable	hosted_required_plan	string	optional
terraform:stacks/control-plane	variable	image_digest	string	optional
terraform:stacks/control-plane	variable	image_repository	string	optional
terraform:stacks/control-plane	variable	image_tag	string	optional
terraform:stacks/control-plane	variable	key_vault_name	string	optional
